Mturk_ID,Part,Interview,Quest,Gender,Age,Edu,SR1a_01,SR1a_02,SR1a_03,SR1a_04,SR1a_05,SR1a_06,SR1a_07,SR1a_08,SR1a_09,SR1a_10,SR1a_11,SR1a_12,SR1a_13,SR1a_14,SR1a_15,SR1a_16,SR1a_17,SR1a_18,SR1a_19,SR1a_20,SR1a_21,SR1a_22,SR1a_23,SR1a_24,SR1a_25,SR1a_26,SR1a_27,SR1a_28,SR1a_29,SR1a_30,SR1a_31,SR1a_32,SR1a_33,SR1a_34,SR1a_35,SR1a_36,SR1a_37,SR1a_38,SR1a_39,SR1a_40,SR1a_41,SR1a_42,SR1a_43,SR1a_44,SR1a_45,SR1a_46,SR1a_47,SR1a_48,SR1a_49,SR1a_50,SR1a_51,SR1a_52,SR1a_53,SR1a_54,SR1a_55,SR1a_56,SR1a_57,SR1a_58,SR1a_59,SR1a_60,SR1a_61,SR1a_62,SR1a_63,SR1a_64,SR1a_65,SR1a_66,SR1a_67,SR1a_68,SR1a_69,SR1a_70,SR1a_71,SR1a_72,SR1a_73,SR1a_74,SR1a_75,SR1a_76,SR1a_77,SR1a_78,SR1a_79,SR1a_80,SR1b_01,SR1b_02,SR1b_03,SR1b_04,SR1b_05,SR1b_06,SR1b_07,SR1b_08,SR1b_09,SR1b_10,SR1b_11,SR1b_12,SR1b_13,SR1b_14,SR1b_15,SR1b_16,SR1b_17,SR1b_18,SR1b_19,SR1b_20,SR1b_21,SR1b_22,SR1b_23,SR1b_24,SR1b_25,SR1b_26,SR1b_27,SR1b_28,SR1b_29,SR1b_30,SR1b_31,SR1b_32,SR1b_33,SR1b_34,SR1b_35,SR1b_36,SR1b_37,SR1b_38,SR1b_39,SR1b_40,SR1b_41,SR1b_42,SR1b_43,SR1b_44,SR1b_45,SR1b_46,SR1b_47,SR1b_48,SR1b_49,SR1b_50,SR1b_51,SR1b_52,SR1b_53,SR1b_54,SR1b_55,SR1b_56,SR1b_57,SR1b_58,SR1b_59,SR1b_60,SR1b_61,SR1b_62,SR1b_63,SR1b_64,SR1b_65,SR1b_66,SR1b_67,SR1b_68,SR1b_69,SR1b_70,SR1b_71,SR1b_72,SR1b_73,SR1b_74,SR1b_75,SR1b_76,SR1b_77,SR2a_01,SR2a_02,SR2a_03,SR2a_04,SR2a_05,SR2a_06,SR2a_07,SR2a_08,SR2a_09,SR2a_10,SR2a_11,SR2a_12,SR2a_13,SR2a_14,SR2a_15,SR2a_16,SR2a_17,SR2a_18,SR2a_19,SR2a_20,SR2a_21,SR2a_22,SR2a_23,SR2a_24,SR2a_25,SR2a_26,SR2a_27,SR2a_28,SR2a_29,SR2a_30,SR2a_31,SR2a_32,SR2a_33,SR2a_34,SR2a_35,SR2a_36,SR2a_37,SR2a_38,SR2a_39,SR2a_40,SR2a_41,SR2a_42,SR2a_43,SR2a_44,SR2a_45,SR2a_46,SR2a_47,SR2a_48,SR2a_49,SR2a_50,SR2a_51,SR2a_52,SR2a_53,SR2a_54,SR2a_55,SR2a_56,SR2a_57,SR2a_58,SR2a_59,SR2a_60,SR2a_61,SR2a_62,SR2a_63,SR2a_64,SR2a_65,SR2a_66,SR2a_67,SR2a_68,SR2a_69,SR2a_70,SR2a_71,SR2a_72,SR2a_73,SR2a_74,SR2a_75,SR2a_76,SR2a_77,SR2a_78,SR2a_79,SR2a_80,SR2b_01,SR2b_02,SR2b_03,SR2b_04,SR2b_05,SR2b_06,SR2b_07,SR2b_08,SR2b_09,SR2b_10,SR2b_11,SR2b_12,SR2b_13,SR2b_14,SR2b_15,SR2b_16,SR2b_17,SR2b_18,SR2b_19,SR2b_20,SR2b_21,SR2b_22,SR2b_23,SR2b_24,SR2b_25,SR2b_26,SR2b_27,SR2b_28,SR2b_29,SR2b_30,SR2b_31,SR2b_32,SR2b_33,SR2b_34,SR2b_35,SR2b_36,SR2b_37,SR2b_38,SR2b_39,SR2b_40,SR2b_41,SR2b_42,SR2b_43,SR2b_44,SR2b_45,SR2b_46,SR2b_47,SR2b_48,SR2b_49,SR2b_50,SR2b_51,SR2b_52,SR2b_53,SR2b_54,SR2b_55,SR2b_56,SR2b_57,SR2b_58,SR2b_59,SR2b_60,SR2b_61,SR2b_62,SR2b_63,SR2b_64,SR2b_65,SR2b_66,SR2b_67,SR2b_68,SR2b_69,SR2b_70,SR2b_71,SR2b_72,SR2b_73,SR2b_74,SR2b_75,SR2b_76,SR2b_77,SR3a_01,SR3a_02,SR3a_03,SR3a_04,SR3a_05,SR3a_06,SR3a_07,SR3a_08,SR3a_09,SR3a_10,SR3a_11,SR3a_12,SR3a_13,SR3a_14,SR3a_15,SR3a_16,SR3a_17,SR3a_18,SR3a_19,SR3a_20,SR3a_21,SR3a_22,SR3a_23,SR3a_24,SR3a_25,SR3a_26,SR3a_27,SR3a_28,SR3a_29,SR3a_30,SR3a_31,SR3a_32,SR3a_33,SR3a_34,SR3a_35,SR3a_36,SR3a_37,SR3a_38,SR3a_39,SR3a_40,SR3a_41,SR3a_42,SR3a_43,SR3a_44,SR3a_45,SR3a_46,SR3a_47,SR3a_48,SR3a_49,SR3a_50,SR3a_51,SR3a_52,SR3a_53,SR3a_54,SR3a_55,SR3a_56,SR3a_57,SR3a_58,SR3a_59,SR3a_60,SR3a_61,SR3a_62,SR3a_63,SR3a_64,SR3a_65,SR3a_66,SR3a_67,SR3a_68,SR3a_69,SR3a_70,SR3a_71,SR3a_72,SR3a_73,SR3a_74,SR3a_75,SR3a_76,SR3a_77,SR3a_78,SR3a_79,SR3a_80,SR3b_01,SR3b_02,SR3b_03,SR3b_04,SR3b_05,SR3b_06,SR3b_07,SR3b_08,SR3b_09,SR3b_10,SR3b_11,SR3b_12,SR3b_13,SR3b_14,SR3b_15,SR3b_16,SR3b_17,SR3b_18,SR3b_19,SR3b_20,SR3b_21,SR3b_22,SR3b_23,SR3b_24,SR3b_25,SR3b_26,SR3b_27,SR3b_28,SR3b_29,SR3b_30,SR3b_31,SR3b_32,SR3b_33,SR3b_34,SR3b_35,SR3b_36,SR3b_37,SR3b_38,SR3b_39,SR3b_40,SR3b_41,SR3b_42,SR3b_43,SR3b_44,SR3b_45,SR3b_46,SR3b_47,SR3b_48,SR3b_49,SR3b_50,SR3b_51,SR3b_52,SR3b_53,SR3b_54,SR3b_55,SR3b_56,SR3b_57,SR3b_58,SR3b_59,SR3b_60,SR3b_61,SR3b_62,SR3b_63,SR3b_64,SR3b_65,SR3b_66,SR3b_67,SR3b_68,SR3b_69,SR3b_70,SR3b_71,SR3b_72,SR3b_73,SR3b_74,SR3b_75,SR3b_76,SR3b_77,SR4a_01,SR4a_02,SR4a_03,SR4a_04,SR4a_05,SR4a_06,SR4a_07,SR4a_08,SR4a_09,SR4a_10,SR4a_11,SR4a_12,SR4a_13,SR4a_14,SR4a_15,SR4a_16,SR4a_17,SR4a_18,SR4a_19,SR4a_20,SR4a_21,SR4a_22,SR4a_23,SR4a_24,SR4a_25,SR4a_26,SR4a_27,SR4a_28,SR4a_29,SR4a_30,SR4a_31,SR4a_32,SR4a_33,SR4a_34,SR4a_35,SR4a_36,SR4a_37,SR4a_38,SR4a_39,SR4a_40,SR4a_41,SR4a_42,SR4a_43,SR4a_44,SR4a_45,SR4a_46,SR4a_47,SR4a_48,SR4a_49,SR4a_50,SR4a_51,SR4a_52,SR4a_53,SR4a_54,SR4a_55,SR4a_56,SR4a_57,SR4a_58,SR4a_59,SR4a_60,SR4a_61,SR4a_62,SR4a_63,SR4a_64,SR4a_65,SR4a_66,SR4a_67,SR4a_68,SR4a_69,SR4a_70,SR4a_71,SR4a_72,SR4a_73,SR4a_74,SR4a_75,SR4a_76,SR4a_77,SR4a_78,SR4a_79,SR4a_80,SR4b_01,SR4b_02,SR4b_03,SR4b_04,SR4b_05,SR4b_06,SR4b_07,SR4b_08,SR4b_09,SR4b_10,SR4b_11,SR4b_12,SR4b_13,SR4b_14,SR4b_15,SR4b_16,SR4b_17,SR4b_18,SR4b_19,SR4b_20,SR4b_21,SR4b_22,SR4b_23,SR4b_24,SR4b_25,SR4b_26,SR4b_27,SR4b_28,SR4b_29,SR4b_30,SR4b_31,SR4b_32,SR4b_33,SR4b_34,SR4b_35,SR4b_36,SR4b_37,SR4b_38,SR4b_39,SR4b_40,SR4b_41,SR4b_42,SR4b_43,SR4b_44,SR4b_45,SR4b_46,SR4b_47,SR4b_48,SR4b_49,SR4b_50,SR4b_51,SR4b_52,SR4b_53,SR4b_54,SR4b_55,SR4b_56,SR4b_57,SR4b_58,SR4b_59,SR4b_60,SR4b_61,SR4b_62,SR4b_63,SR4b_64,SR4b_65,SR4b_66,SR4b_67,SR4b_68,SR4b_69,SR4b_70,SR4b_71,SR4b_72,SR4b_73,SR4b_74,SR4b_75,SR4b_76,SR4b_77,Time
A2BCW92PAXTVJJ,11,103,SR2a,donna,25 - 29,triennale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,6,4,4,5,7,4,5,5,4,6,6,5,5,4,4,4,6,3,6,5,3,3,5,5,3,6,5,3,6,4,5,6,5,4,5,4,4,4,4,4,5,4,7,6,5,3,4,5,5,3,5,6,5,6,5,6,3,6,3,3,6,4,4,6,4,4,4,4,3,4,4,5,5,5,6,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
A25EV7W6NCIWWJ,12,104,SR2a,donna,65 +,magistrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,6,3,6,2,6,2,6,3,6,5,3,4,5,2,5,3,6,2,6,6,6,5,3,3,6,2,6,3,6,6,6,5,6,2,6,3,6,3,5,3,6,3,6,2,6,2,5,5,5,3,6,3,6,2,5,6,6,3,6,3,5,6,6,6,6,6,6,2,5,2,6,2,6,2,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074
A2MZA3NO4ECYAX,13,107,SR2a,uomo,40 - 44,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,7,2,3,3,7,1,3,3,7,2,5,5,2,2,3,6,7,6,1,6,6,1,3,2,7,3,2,6,7,1,2,2,5,2,3,6,7,2,3,4,6,4,3,6,7,2,3,4,7,6,3,6,7,1,3,3,7,3,3,6,7,6,2,6,7,2,2,6,6,3,2,6,7,2,3,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213
A2Z76LSWWKFZJJ,14,108,SR2a,uomo,60 - 64,triennale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,6,2,3,1,7,1,3,2,7,1,3,5,2,1,3,4,7,2,4,2,6,2,3,3,6,2,3,3,7,2,3,2,3,2,3,3,7,4,3,2,6,2,3,3,7,2,2,4,6,2,3,2,6,1,3,1,6,2,3,3,7,1,3,2,7,6,3,1,4,6,2,3,7,2,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315
A2ULC5812GIJF2,15,144,SR2a,uomo,25 - 29,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,7,1,6,3,7,2,6,1,7,2,4,6,4,2,6,3,7,2,6,2,7,1,5,2,7,2,6,2,7,1,6,4,7,1,5,2,7,3,6,4,7,2,6,1,7,1,5,4,7,3,6,3,7,1,6,5,7,3,6,3,7,5,6,3,7,2,6,2,7,2,5,2,7,2,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808
A36YNCAC1EN8AN,16,110,SR2b,donna,35 - 39,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,7,3,3,3,7,2,5,1,7,1,5,3,7,5,5,4,7,4,3,3,7,6,6,3,7,2,3,5,7,2,5,3,6,1,5,5,6,2,5,3,7,2,3,3,2,2,5,3,7,2,6,5,7,2,5,5,7,2,5,5,7,2,5,3,6,2,5,3,6,3,5,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142
A2UD78PHN68Y7W,17,111,SR2b,uomo,30 - 34,magistrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,7,2,3,1,7,1,1,7,7,3,1,2,7,6,1,3,7,5,3,2,7,6,1,2,7,2,1,5,7,1,1,5,6,1,2,6,6,1,1,6,7,7,1,5,7,1,1,1,7,2,6,5,7,1,2,3,7,1,1,4,7,2,1,2,7,1,2,5,7,1,1,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862
A1Z2QXR9Z5JVUD,18,113,SR2b,uomo,50 - 54,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,6,4,4,2,6,4,6,3,5,1,5,3,6,4,6,3,6,2,5,1,6,4,5,3,6,1,5,6,7,3,6,1,4,2,6,3,6,1,6,3,6,4,5,2,6,4,6,3,6,2,5,2,4,2,4,3,6,2,4,1,6,1,6,2,6,1,6,2,4,2,7,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027
AAZGK35IQ4VFM,19,114,SR2b,uomo,55 - 59,Diploma_IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,6,6,3,2,6,2,6,6,2,2,6,6,7,3,6,2,1,1,2,2,5,1,6,2,1,2,2,2,7,2,6,2,2,2,7,6,6,6,6,3,2,1,6,2,2,6,6,3,6,2,6,3,2,2,6,2,6,6,7,2,5,2,6,2,6,2,6,2,2,2,7,1,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892
A2AUJ4PJ54W6NA,20,145,SR2b,uomo,25 - 29,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,7,3,4,1,4,1,2,3,7,3,7,3,6,1,4,7,7,6,2,7,7,7,3,4,7,2,2,3,7,2,5,5,5,2,6,2,7,4,7,5,7,5,3,1,5,4,6,2,7,4,7,2,7,1,6,3,2,1,3,7,7,1,7,5,7,4,4,4,7,1,4,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543
A2RKUDGK5PQ44X,21,115,SR3a,uomo,35 - 39,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,4,3,2,6,6,3,5,2,6,6,2,6,6,3,2,6,6,3,2,3,6,3,2,3,6,2,6,5,4,2,6,6,5,2,2,3,5,5,6,3,6,2,2,6,6,2,3,2,6,3,2,6,6,6,2,2,6,5,2,6,6,3,6,2,6,2,6,6,6,5,2,5,6,3,3,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165
A385G821ND1TX2,22,118,SR3a,donna,35 - 39,Diploma_scuola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,1,6,3,6,1,7,3,7,4,6,3,7,1,7,5,6,2,6,2,7,2,6,2,7,1,6,1,7,1,6,4,7,1,6,1,7,4,5,2,7,4,6,3,6,2,6,1,6,3,6,4,7,4,6,3,6,3,6,6,7,2,3,1,7,2,6,3,7,4,5,4,7,2,6,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904
